PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC,nlog(n)
2.781121588372565,2.4157373998072242,0.16498674665178573,275.5197012987013,65.54545454545455,50000.0,random1,0.2306035293645161,10.738534632034657,0.014653087797619063,86.86198438453914,100,0.24525661716213518,780482.0237218406
3.5147823757595487,3.0640801323784723,0.20309363471137154,333.90659722222216,69.02777777777777,75000.0,random1,0.3955653651698574,29.35240803303293,0.02490067124008777,87.17695165170278,100,0.4204660364099452,1214595.2231368476
3.977878771330181,3.4695024992290295,0.22857666015625,373.1282894736844,70.14473684210526,100000.0,random1,0.39224216394257105,29.55745614035112,0.022950914171006948,87.21991540402944,100,0.415193078113578,1660964.0474436812
4.783456270811988,4.169975906121926,0.2692050621157787,455.43406557377045,71.77049180327869,200000.0,random1,0.5431250150086449,34.67959057377044,0.035905806744684965,87.17495614136921,100,0.5790308217533298,3521928.0948873623
5.546816507975261,4.827559577094184,0.30514441596137154,533.767125,72.90277777777777,300000.0,random1,0.33912652170556257,32.61289423076903,0.019947475857204855,87.03297774774191,100,0.3590739975627674,5458380.89254739
5.73615532416802,4.980145342938312,0.3161097935267857,573.9315324675324,72.02597402597402,400000.0,random1,0.47639886143555454,55.67359129106171,0.03373961889443278,86.82026656348675,100,0.5101384803299873,7443856.189774725
6.178217107599432,5.359853108723958,0.3389550411339962,629.1428484848486,71.60606060606061,500000.0,random1,0.5485999697730648,73.45856277056282,0.040097270486674774,86.75404271777928,100,0.5886972402597396,9465784.284662087
6.913290953024839,6.014574882311699,0.38201121794871795,732.3500512820513,66.61538461538461,600000.0,random1,0.6855933556189902,106.3659846153846,0.052580065604967974,87.00017000846873,100,0.7381734212239581,11516761.78509478
7.478941175672743,6.501559787326389,0.3998192681206597,809.9350833333334,67.58333333333333,700000.0,random1,0.7959442138671875,131.2534166666668,0.04696824815538192,86.93155400759738,100,0.8429124620225694,13591896.77754609
8.111153496636284,7.044731987847222,0.4400261773003472,888.0985277777777,65.77777777777777,800000.0,random1,0.9011202029429883,136.81485035842263,0.07698709904933915,86.85240626710727,100,0.9781073019923274,15687712.37954945
8.449098587036133,7.333662033081055,0.4545154571533203,937.6432187500002,67.0625,900000.0,random1,0.5278453826904297,112.39461875000006,0.045422744750976574,86.79815908804109,100,0.5732681274414062,17801608.928291213
8.964968950320513,7.776738093449519,0.48482415614983976,1008.9210256410258,66.12820512820512,1000000.0,random1,0.8833288132335264,151.59934917043734,0.0815666739577442,86.74584526220237,100,0.9648954871912706,19931568.569324173
2.3068473307291666,2.0000301106770833,0.13764567057291666,238.21285333333338,60.626666666666665,25000.0,random2,0.09711797078450513,12.155228333333355,0.009668299357096344,86.69971714360905,100,0.10678627014160147,365241.0118609203
2.794994457347973,2.428840431007179,0.16666556693412163,275.00674324324325,66.52702702702703,50000.0,random2,0.2626756089585678,17.22735435435436,0.01857901908255913,86.89965107522187,100,0.2812546280411269,780482.0237218406
3.5246064927842884,3.072752210828993,0.2030300564236111,333.64972222222224,69.43055555555556,75000.0,random2,0.26959669325086777,19.457588888888893,0.015013292100694436,87.18000767233592,100,0.28460998535156223,1214595.2231368476
3.9932551971853596,3.4801894932577055,0.23211502702268835,378.5873698630137,71.54794520547945,100000.0,random2,0.4031509190389557,35.56714486301371,0.02713761003050086,87.1516925767908,100,0.4302885290694566,1660964.0474436812
4.960283015324519,4.329822716346154,0.27493520883413464,468.3586615384615,72.27692307692308,200000.0,random2,0.5167974440923659,42.76566153846147,0.03232231229057403,87.28983211178489,100,0.54911975638294,3521928.0948873623
5.461422610592533,4.744869083553166,0.30817443054991883,533.4485454545458,72.20779220779221,300000.0,random2,0.699305012561318,73.44584980237187,0.056534442438505805,86.8797275338188,100,0.7558394549998239,5458380.89254739
5.922786167689732,5.149001639229911,0.32410801478794643,587.5816285714285,72.5,400000.0,random2,0.5404293440121082,64.53311341991332,0.03936421448018129,86.93546404425324,100,0.5797935584922895,7443856.189774725
6.250664265950521,5.426849365234375,0.3451466878255208,632.8702833333335,71.4,500000.0,random2,0.6053457549124053,71.26313181818193,0.0445781360973011,86.82036235406622,100,0.6499238910097064,9465784.284662087
6.708733809621711,5.832313939144737,0.3691872044613487,716.0308947368421,66.97368421052632,600000.0,random2,0.6809572148143799,107.6664947368422,0.049697807139920114,86.93613585890073,100,0.7306550219543,11516761.78509478
7.67605912057977,6.677106355365954,0.41020925421463816,827.4226842105263,67.23684210526316,700000.0,random2,0.8988544762229616,142.8141993620418,0.05456849604702452,86.98612465691424,100,0.9534229722699861,13591896.77754609
8.318245335629111,7.233401649876645,0.4488702071340461,900.7067368421052,67.73684210526316,800000.0,random2,0.5234407123766447,102.68019517543848,0.04045345908717107,86.95826292708858,100,0.5638941714638157,15687712.37954945
8.723873901367188,7.581942749023438,0.48086700439453123,948.1339250000001,67.725,900000.0,random2,0.9852849715795271,127.11136089743593,0.10004205948267225,86.91027443479221,100,1.0853270310621994,17801608.928291213
8.98153588079637,7.788493494833669,0.48746416645665325,1008.1692580645164,66.19354838709677,1000000.0,random2,0.8664166093168424,146.8223349875932,0.08494200599992247,86.71672193044874,100,0.9513586153167648,19931568.569324173
2.184921875,1.8842399088541666,0.13266764322916666,229.3236800000001,61.653333333333336,25000.0,random3,0.07638187992680168,8.968734054054153,0.007690737612612603,86.23831956710885,100,0.08407261753941428,365241.0118609203
2.812561894806338,2.439203826474472,0.16889201419454225,279.63112676056335,66.91549295774648,50000.0,random3,0.27240830781127734,28.516682316118988,0.02217875735860475,86.72533859534587,100,0.2945870651698821,780482.0237218406
3.558986463044819,3.098615947522615,0.20635504471628288,341.59772368421045,69.71052631578948,75000.0,random3,0.2990124499821061,23.215205165691998,0.016768546597069917,87.06456120857669,100,0.315780996579176,1214595.2231368476
3.8572768174208605,3.353667023894075,0.2285869647930195,370.92293506493496,71.01298701298701,100000.0,random3,0.4837075105477209,44.85704617604614,0.03559719157253338,86.94390324147075,100,0.5193047021202543,1660964.0474436812
4.777559720552885,4.1643479567307695,0.2682626577524038,456.81678461538445,71.93846153846154,200000.0,random3,0.5342855264852338,44.048270329670174,0.03757941277472526,87.16474937646302,100,0.5718649392599591,3521928.0948873623
5.723551177978516,4.9831596374511715,0.3210662841796875,550.8998625,72.6375,300000.0,random3,0.44601653249640183,49.58467828947374,0.03310884174547701,87.0641229980433,100,0.47912537424187884,5458380.89254739
5.915337284909019,5.141858837272547,0.3313969479331487,583.2510506329114,72.79746835443038,400000.0,random3,0.7084743506654041,65.3606506329113,0.056449263781363,86.92418689954096,100,0.764923614446767,7443856.189774725
6.432790562726449,5.588291334069294,0.35259832852128625,650.3234057971015,71.68115942028986,500000.0,random3,0.5539313154258281,81.00513306982873,0.03276578679543396,86.87196139183449,100,0.586697102221262,9465784.284662087
